Tarih;Sensor Adi;Koordinat X;Koordinat Y;Arac Sayim
1.01.2020;ciragan Cad.;29,016617;41,044845;86521
1.01.2020;Kco cekmekoy Kavsagi;29,19354;41,051371;9451
1.01.2020;Gunesli 2 Basin Ekspres yolu;28,811125;41,024099;53991
1.01.2020;Buyukdere 1.Levent;29,015483;41,073533;102531
1.01.2020;Cevizlibag;28,914282;41,018157;129090
1.01.2020;Golet;28,9374;41,2302;7906
1.01.2020;Gokturk Golet;28,867974;41,195935;39246
1.01.2020;Poyrazkoy;29,140881;41,19757;9606
1.01.2020;TEM cakmak Koprusu;29,120768;41,017684;169696
1.01.2020;Besiktas TEM Bagl. Yolu;29,014192;41,085921;44118
1.01.2020;TEM-D100 Esenyurt Baglanti;28,689368;41,039518;79988
1.01.2020;Kemerburgaz Yolu 3;28,933163;41,134974;55494
1.01.2020;TEM Sultanbeyli 1;29,284354;40,959521;6436
1.01.2020;D100 Avrasya Tunel cikisi;29,035721;41,003605;57753
1.01.2020;Basaksehir Giris;28,810309;41,066114;43280
1.01.2020;Yildirim Mah. Girisi;28,881736;41,066964;97482
1.01.2020;Taksim Altgecidi;28,983658;41,037559;34567
1.01.2020;TEM Celaliye 1;28,45456;41,054139;37161
1.01.2020;Havuzlu Kavsak;28,833719;40,967882;23819
1.01.2020;Darussafaka;29,023281;41,125137;74222
1.01.2020;isiklar Kavsagi;28,83;41,2135;12989
1.01.2020;Atisalani;28,8551;41,0551;142186
1.01.2020;D100 Sefakoy;28,807908;41,0007;118385
1.01.2020;TEM Aricilar;28,981994;41,10021;183278
1.01.2020;FSM Giseler;29,040798;41,091107;145641
1.01.2020;Levent 1;29,013623;41,077812;97506
1.01.2020;D100 Edirnekapi;28,932378;41,034829;181353
1.01.2020;Vatan Cad.;28,930855;41,023201;78871
1.01.2020;D100 Turk Bobrek Vakfi onu;28,877695;40,999537;154874
1.01.2020;TEM Milliyet 2 (Yasar Ticaret Karsisi);28,851034;41,064636;131475
1.01.2020;D100 Kucukyali;29,118563;40,952052;137893
1.01.2020;Kucukyali Sahil Yolu;29,101353;40,947741;33004
1.01.2020;D100 Mecidiyekoy B. Kopru Katilimi;29,005424;41,066793;144881
